id,marque,modele,titre,prix,cote_argus,km,annee,ville,distance,url,img_url,options,carburant,boite,couleur,chevaux,status,source,temps,lien_annonce,description,date_scrape
lbc-3062949542,Audi,A6,Audi a6 avant 3.0 tdi 286ch hybrid quattro s-line garantie,34999,38498,99565km,2019,Bourg-lès-Valence,10,,https://img.leboncoin.fr/api/v1/lbcpb1/images/4e/a0/68/4ea06827c0da2fbd71b7a11da4285a536330dde7.jpg?rule=ad-large,Voir description,Diesel,Automatique,N/C,18,Clean,LeBonCoin,19h,https://www.leboncoin.fr/ad/voitures/3062949542,GT AUTOMOBILE VOUS PROPOSE   AUDI A6 AVANT 3.0 50 TDI 286CH HYBRID QUATTRO S-LINE GARANTIE 12 MOIS TRES PROPRE   OPTIONS ET ÉQUIPEMENTS : Audio - Télécommunications :   - Apple carplay   - Bluetooth   - Connect sos & assistance   - GPS   - Prise audio USB   - Reconnaissance vocale   - Système DVD   - Système audio BOSE   - Système audio CD   - Système audio MP3   - Écran tactile  Conduite :   - Aide au démarrage en côte   - Carte main libre   - Drive select   - Essuie-glaces automatiques   - Limiteur de vitesse   - Park assist   - Régulateur de vitesse   - Régulateur de vitesse adaptatif   - Stop and Start   - Suspension pilotée   - Système ecomode   - Système sans clé  Extérieur :   - Attelage   - Feux de freinage d'urgence   - Hayon mains libres   - Hayon motorisé   - Jantes alliage   - ,2025-12-14
lbc-3062721108,Audi,Q3,Audi Q3 Sportback 45 TFSIe 245 ch S tronic 6 S line - Leasing 459 Euros/ Mois,46900,51590,34082km,2021,Lyon,10,,https://img.leboncoin.fr/api/v1/lbcpb1/images/b7/f6/ec/b7f6ec7fe82f216a8cca6f4451eceb06de4b3305.jpg?rule=ad-large,Voir description,Hybride,Automatique,N/C,8,Clean,LeBonCoin,1h,https://www.leboncoin.fr/ad/voitures/3062721108,"Audi Q3 Sportback 45 TFSIe 245 ch S tronic 6 S line - Leasing 459 Euros/ Mois tout-terrain, bleu, 8 cv, 5 portes, couleur intérieure : noir, première mise en circulation le 10/08/2021, première main, garantie 12 mois.  Leasing 459 Euros/ Mois avec apport 8000 € et 699 Euros/ Mois sans apport  Prix TTC : 46 900,00 € Prix HT : 39 084,00 € La TVA est récupérable sur ce véhicule.  5 places, longueur : 4 500,00 mètre(s)  OPTIONS ET ÉQUIPEMENTS : Audio - Télécommunications :   -  Appel d'urgence Audi connect   -  Audi Connect Navigation et Divertissement   -  Audi Connect sécurité et assistance en ligne   -  Audi Smartphone Interface   -  Audi Sound System   -  Audi phone box   -  MMI Navigation plus avec MMI touch response   -  MMI Radio Plus avec MMI Touch   - Bluetooth   - radio numérique  Co",2025-12-14
lbc-3062432739,Audi,A5,AUDI A5 Sportback Quattro 2.0 TFSI - 252 - BV S-tronic Avus - GARANTIE 1 AN (EXTENSIBLE JUSQU A 3 ANS),27490,30239,83000km,2017,Laval,10,,https://img.leboncoin.fr/api/v1/lbcpb1/images/43/99/7f/43997fba6c855dc736dbe4c9556bd38b38f5c6f4.jpg?rule=ad-large,Voir description,Essence,Automatique,N/C,15,Clean,LeBonCoin,15h,https://www.leboncoin.fr/ad/voitures/3062432739,"Audi A5 Avus Sportback Quattro 2.0 TFSI - 252 ch - S tronic (automatique) - 2017 - 83 000 km   Découvrez ce superbe Audi A5 Avus Sportback 2.0 TFSI soigneusement préparé par nos équipes. Véhicule certifié, garanti 12 mois et prêt à partir.    - Modèle : Audi A5 Sportback - Finition : Avus (pack extérieur S line) - Motorisation : 2.0 TFSI Quattro (transmission intégrale permanente) - Puissance : 252 ch - Boîte : S tronic (automatique, 7 rapports) - Année : 2017 - Kilométrage : 83 000 km - Couleur extérieure : blanc   Points forts : - Entretien à jour et contrôle technique OK. - Motorisation 2.0 TFSI de 252 ch avec transmission Quattro : comportement routier sûr et dynamique toute saison. - Boîte S tronic 7 rapports pour des passages de rapport rapides et un agrément quotidien. - Finition Av",2025-12-14
lbc-3060129467,Audi,A4,Audi A4 AVANT 2.0 TFSI 211CH S LINE,9990,10989,180876km,2009,Melesse,10,,https://img.leboncoin.fr/api/v1/lbcpb1/images/17/20/f9/1720f9553dd7fb4a0a926646632618d917f052a1.jpg?rule=ad-large,Voir description,Essence,Automatique,N/C,12,Clean,LeBonCoin,12h,https://www.leboncoin.fr/ad/voitures/3060129467,"Audi A4 AVANT 2.0 TFSI 211CH S LINE, (Break), , 12cv, 5 portes, mise en circulation le 17-12-2009.  5 places, longueur : 4,70 mètres, boîte de vitesse : automatique  OPTIONS ET EQUIPEMENTS :  Kilométrage non garanti.  - Volant cuir multifonctions - Ordinateur de bord - GPS   - Bluetooth - Mode de conduite  - Sièges en cuir SLINE  - Sièges électriques  - Sièges chauffants  - Caméra de recul  - Radar d'aide au stationnement avant  - Radar d'aide au stationnement arrière  - Phares automatique  - Régulateur de vitesse  - Limiteur de vitesse  - ABS  - ESP   Il est possible que nos annonces contiennent des erreurs, merci de nous contacter pour plus de renseignements  ____________________  GARANTIE 3 MOIS EXTENSION POSSIBLE JUSQU’À 60 MOIS LIVRAISON POSSIBLE DANS TOUTE LA FRANCE _________________",2025-12-14
lbc-3055652427,Audi,A5,AUDI A5 SPORTBACK 1.8 TFSI 170ch AMBITION LUXE,11490,12639,199500km,2014,Saint-Lô,10,,https://img.leboncoin.fr/api/v1/lbcpb1/images/60/01/0e/60010eac836a145371743bfc41f7075b7db5976a.jpg?rule=ad-large,Voir description,Essence,Automatique,N/C,9,Clean,LeBonCoin,15h,https://www.leboncoin.fr/ad/voitures/3055652427,"AUDI A5 SPORTBACK 1.8 TFSI 170ch AMBITION LUXE, berline, noir, 9 cv, 5 portes, première mise en circulation le 21/05/2014.  Prix TTC : 11 490 €  OPTIONS ET ÉQUIPEMENTS : Audio - Télécommunications :   - Changeur CD   - GPS   - Interface Bluetooth   - Système de navigation  Conduite :   - Allumage automatique des phares   - Capteur de pluie   - Régulateur de vitesse  Extérieur :   - Jantes/roues en alliage léger 18""   - Radar de stationnement arrière   - Radar de stationnement avant  Intérieur :   - Accoudoir arrière   - Accoudoir avant   - Banquette 1/3 - 2/3   - Cache bagages   - Climatisation automatique bizone   - Volant en cuir  Pack :   - Alerte à l'ouverture des portes   - Appuie-tête arrière   - Frein de stationnement électrique   - Garnitures intérieures bois   - Volant multifoncti",2025-12-14
lbc-3033244207,Audi,A1,AUDI A1 SPORTBACK 30 TFSI 116 ch BVM6 S line,17990,19789,93500km,2019,Les Sables-d'Olonne,10,,https://img.leboncoin.fr/api/v1/lbcpb1/images/2a/da/9d/2ada9d5ae1d924786d44c38145923089f1979c95.jpg?rule=ad-large,Voir description,Essence,Manuelle,N/C,6,Clean,LeBonCoin,12h,https://www.leboncoin.fr/ad/voitures/3033244207,"AUDI A1 SPORTBACK 30 TFSI 116 ch BVM6 S line, berline, gris, 6 cv, première mise en circulation le 26/12/2019.  Prix TTC : 17 990 €  5 places  OPTIONS ET ÉQUIPEMENTS : Audio - Télécommunications :   - Android Auto   - Apple Carplay   - Interface Bluetooth  Conduite :   - Allumage automatique des phares   - Détecteur pluie   - Front Assist   - Régulateur de vitesse   - Système Start/Stop  Couleur :   - Peinture métallisée  Extérieur :   - Becquet de toit   - Feux arrière LED   - Feux avant LED   - Jantes/roues en alliage léger 17""  Intérieur :   - Accoudoir avant   - Banquette/sièges arrière rabattable   - Climatisation automatique bizone   - Levier de vitesses en cuir   - Lève-vitres arrière électriques   - Lève-vitres avant électriques   - Rétroviseur conducteur réglable électriquement   ",2025-12-14
lbc-3002510805,Audi,A1,Audi A1 1.6 TDI 105CH FAP ATTRACTION,7990,8789,165859km,2011,Saint-Jean-de-Védas,10,,https://img.leboncoin.fr/api/v1/lbcpb1/images/9b/f7/ee/9bf7ee949d577502428ceea2054cdb18948e9130.jpg?rule=ad-large,Voir description,Diesel,Manuelle,N/C,5,Clean,LeBonCoin,14h,https://www.leboncoin.fr/ad/voitures/3002510805,"Audi A1 1.6 TDI 105CH FAP ATTRACTION, (Berline), GRIS, 5cv, 3 portes, mise en circulation le 15-07-2011, garantie 3 mois (3 MOIS OU 5 000 KM).  4 places, couleur intérieur : NOIR, longueur : 3,95 mètres, boîte de vitesse : manuelle  OPTIONS ET EQUIPEMENTS : Audio - Télécommunications - Radio CD MP3 4HP  Conduite - Arrêt et redémarrage auto. du moteur  Extérieur - Becquet arrière - Boucliers AV et AR couleur caisse - Essuie-glace arrière - Feux de freinage d'urgence - Feux de jour - Filtre à particules - Jantes Alu 15"" - Radar de recul - Répétiteurs de clignotant dans rétro ext - Rétros élec. dégivrants et rabattables - Rétroviseurs électriques  Intérieur - Bacs de portes avant - Banquette 1/3-2/3 - Banquette 2 places - Banquette AR rabattable - Boite à gants fermée - Clim automatique - Cli",2025-12-14
lbc-2980384386,Audi,Q8,Audi Q8 60 TFSI e 462ch Compétition quattro tiptronic 8,61900,68090,59499km,2021,Vélizy-Villacoublay,10,,https://img.leboncoin.fr/api/v1/lbcpb1/images/10/77/91/10779172a3b33b2a08ced70ad972922e83e48fb8.jpg?rule=ad-large,Voir description,Hybride Rechargeable,Automatique,N/C,22,Clean,LeBonCoin,11h,https://www.leboncoin.fr/ad/voitures/2980384386,"Audi Q8 60 TFSI e 462ch Compétition quattro tiptronic 8, (S.U.V.), Gris Daytona nacré, 22cv, 5 portes, mise en circulation le 25-01-2021, garantie 12 mois (Garantie:FLEX 12 mois).  5 places, couleur intérieur : 6Y6YEI, longueur : 4,99 mètres, poids en charge 3055 Kg, boîte de vitesse : automatique  OPTIONS ET EQUIPEMENTS : Audio - Télécommunications - 10 Haut parleurs - Appel d'Assistance Localisé - Appel d'Urgence Localisé - Bang & Olufsen Premium Sound System - Borne Wi-Fi - Commandes du système audio au volant - Commandes vocales - Ecran tactile - Fonction MP3 - GPS Cartographique - Interface Media - Kit mains-libres Bluetooth - Prise USB - Radio - Radio numérique DAB - Services connectés - Système de localisation par satellite - TMC  Conduite - Arrêt et redémarrage auto. du moteur - Ca",2025-12-14
lbc-2977856149,Audi,A4,AUDI A4 1.4 TFSI 150 S tronic 7 Design - ENTRETIEN À JOUR / CAMÉRA DE RECUL,14990,16489,131000km,2016,La Chaussée-Saint-Victor,10,,https://img.leboncoin.fr/api/v1/lbcpb1/images/13/27/b2/1327b22b63e3c97f284ec7b9f27a7b8ed722e48b.jpg?rule=ad-large,Voir description,Essence,Automatique,N/C,8,Clean,LeBonCoin,2h,https://www.leboncoin.fr/ad/voitures/2977856149,"AUDI A4 1.4 TFSI 150 S tronic 7 Design - ENTRETIEN À JOUR / CAMÉRA DE RECUL, berline, marron, 8 cv, 4 portes, première mise en circulation le 22/09/2016, garantie : 3 mois.  Prix TTC : 14 990 €  5 places  OPTIONS ET ÉQUIPEMENTS : Audio - Télécommunications :   - Lecteur CD   - Lecteur MP3  Conduite :   - Allumage automatique des phares   - Carte mains-libres   - Différentiel à glissement limité automatique   - Démarrage sans clé   - Détecteur pluie   - Réglage automatique des phares   - Système Start/Stop   - Système de récupération d'énergie  Extérieur :   - Caméra de recul   - Jantes/roues en alliage léger 17""   - Phares Xénon   - Préparation attelage de remorque   - Radar de stationnement arrière   - Radar de stationnement avant   - Rétroviseurs extérieurs dégivrants   - Rétroviseurs ex",2025-12-14
lbc-2955013227,Audi,Q2,AUDI Q2 1.5 35 TFSI - 150 - BV S-tronic Design,26990,29689,32950km,2023,Ganges,10,,https://img.leboncoin.fr/api/v1/lbcpb1/images/03/e9/11/03e911557282d4300c92b3605a64bd054d5576b1.jpg?rule=ad-large,Voir description,Essence,Automatique,N/C,8,Clean,LeBonCoin,12h,https://www.leboncoin.fr/ad/voitures/2955013227,"AUDI Q2 DESIGN 1.5 35 TFSI ? 150 ch ? Boîte automatique S?tronic ? 2023 ? 32 950 km Découvrez ce superbe AUDI Q2 DESIGN 1.5 35 TFSI soigneusement préparé par nos équipes. Véhicule certifié, garanti 12 mois et prêt à partir. Prix : 26 990 EUR. Points forts : - Badge Audi et positionnement premium : image soignée et valeur résiduelle avantageuse à la revente. - Faible kilométrage (32 950 km) : véhicule quasiment neuf offrant tranquillité d'utilisation. - Motorisation 1.5 TFSI 150 ch : compromis idéal entre vivacité et consommation maîtrisée pour un usage quotidien. - Boîte automatique S?tronic : passages de rapports fluides pour un confort élevé en ville comme sur autoroute. - Finition Design : niveau d'équipement bien équilibré alliant confort, style et praticité dans un format SUV compact.",2025-12-14
